Wall time,Step,Value
1724252490.473185,9,-7.466251373291016
1724252492.48474,19,-6.8409905433654785
1724252496.645035,39,-6.40341854095459
1724252500.850704,59,-6.440587520599365
1724252502.953123,69,-5.272000789642334
1724252505.056413,79,-7.094512462615967
1724252507.182372,89,-9.00477409362793
1724252509.282044,99,-6.631536483764648
1724252511.448999,109,-4.5008463859558105
1724252513.557007,119,-4.141444683074951
1724252515.702741,129,-4.709948539733887
1724252517.827093,139,-6.3798508644104
1724252519.960881,149,-7.441861629486084
1724252522.071829,159,-5.660858154296875
1724252524.187123,169,-3.6815335750579834
1724252526.31458,179,-5.295708179473877
1724252528.4403598,189,-2.770082950592041
1724252530.473644,199,-7.570274829864502
1724252532.602239,209,-8.234909057617188
1724252534.674112,219,-7.7891845703125
1724252536.814324,229,-4.973522663116455
1724252538.963889,239,-5.21293830871582
1724252541.1152241,249,-4.546082496643066
1724252543.171951,259,-3.9696755409240723
1724252547.4172,279,-5.009274005889893
1724252553.9086158,309,-3.4597365856170654
1724252556.158633,319,-7.029198169708252
1724252558.447961,329,-5.286956310272217
1724252560.675691,339,-4.81746244430542
1724252562.820517,349,-3.642935037612915
1724252567.424052,369,-3.690635919570923
1724252569.588577,379,-3.7936058044433594
1724252571.725373,389,-4.9552083015441895
1724252574.138813,399,-5.830051898956299
1724252576.340618,409,-7.728672981262207
1724252580.778063,429,-2.906979560852051
1724252582.986197,439,-5.918503284454346
1724252585.295941,449,-5.021887302398682
1724252587.4901729,459,-3.2338011264801025
1724252589.532232,469,-4.67303466796875
1724252591.83467,479,-3.348271131515503
1724252595.708365,499,-3.2560720443725586
1724252597.83616,509,-1.9245444536209106
1724252602.298529,529,-4.781271457672119
1724252604.251895,539,-2.8761956691741943
1724252606.615437,549,-4.853395462036133
1724252608.3034508,559,-1.4307148456573486
1724252610.6544662,569,-5.681562900543213
1724252612.782665,579,-4.389708042144775
1724252618.3331761,599,-2.575361728668213
1724252620.3503711,609,-3.744738817214966
1724252634.699043,619,-5.047392845153809
1724252636.6258402,629,-5.993199825286865
1724252637.833656,639,-2.7260549068450928
1724252639.079026,649,-3.6065731048583984
1724252639.974895,659,-1.129553198814392
1724252640.896956,669,-3.714641809463501
1724252642.2066839,679,-5.4239912033081055
1724252643.330766,689,-2.432007312774658
1724252644.25419,699,-2.2756431102752686
1724252646.5876129,719,-3.317487955093384
1724252647.307081,729,-1.648019790649414
1724252648.2126138,739,-1.1082569360733032
1724252649.296641,749,-6.25880241394043
1724252650.232322,759,-5.796783447265625
1724252651.211055,769,-1.6571787595748901
1724252651.879353,779,-1.3569648265838623
1724252652.845911,789,-3.8322644233703613
1724252653.860939,799,-0.6048550009727478
1724252655.023655,819,-2.061521291732788
1724252655.547102,829,-2.7915780544281006
1724252657.062332,849,-1.23139226436615
1724252657.956288,859,-0.6883019804954529
1724252658.9056482,869,-4.239053726196289
1724252659.581185,879,-2.1339781284332275
1724252660.3804018,889,-2.1235110759735107
1724252661.117352,899,-3.4623048305511475
1724252662.298594,919,-1.290959358215332
1724252662.949108,929,-2.4106264114379883
1724252663.5086248,939,-3.031423330307007
1724252664.0639622,949,-1.129750370979309
1724252664.949887,959,-4.840388298034668
1724252665.654548,969,-0.9396983981132507
1724252666.2432861,979,-2.3191683292388916
1724252667.911836,999,-0.9272424578666687
1724252668.41185,1009,-1.831977367401123
1724252669.278605,1019,-1.370712399482727
1724252670.0236192,1029,-1.5249378681182861
1724252670.83263,1039,-1.0911884307861328
1724252671.583305,1049,-5.134932518005371
1724252672.234208,1059,-3.698183536529541
1724252673.104377,1069,-3.036433696746826
1724252674.57618,1089,-2.1824653148651123
1724252675.359175,1099,-2.501429319381714
1724252676.388507,1109,-0.8232682347297668
1724252677.302468,1119,-2.6207826137542725
1724252678.151216,1129,-2.170836925506592
1724252678.876663,1139,-0.4571516215801239
1724252679.547959,1149,-1.3306103944778442
1724252680.4380538,1159,-1.2456270456314087
1724252681.2305431,1169,-0.6863709688186646
1724252682.205236,1179,-3.4171111583709717
1724252683.030731,1189,-2.4358012676239014
1724252683.9509811,1199,-1.6331381797790527
1724252685.087755,1209,-5.248239517211914
1724252686.1028621,1219,-2.821162462234497
1724252687.06798,1229,-1.096008062362671
1724252688.030831,1239,-1.9349812269210815
1724252688.800342,1249,-2.1698763370513916
1724252689.763138,1259,-2.0009288787841797
1724252690.819438,1269,-1.5734493732452393
1724252691.779649,1279,-5.263385772705078
1724252694.25877,1299,-1.725814700126648
1724252695.16467,1309,-0.6714699268341064
1724252698.17019,1339,-5.062371253967285
1724252699.0209558,1349,-3.9561171531677246
1724252700.8043678,1369,-1.8703408241271973
1724252701.806928,1379,-2.4060544967651367
1724252704.126273,1399,-4.203634262084961
1724252705.9000719,1419,-1.7224863767623901
1724252706.636916,1429,-2.798030138015747
1724252707.454772,1439,-2.1548452377319336
1724252708.4288902,1449,-3.6015844345092773
1724252709.4780002,1459,-0.7016518115997314
1724252710.906271,1469,-2.2623894214630127
1724252712.952116,1489,-1.3231221437454224
1724252713.8893619,1499,-2.698697328567505
1724252714.9054348,1509,-1.315279245376587
1724252715.996442,1519,-2.7327985763549805
1724252718.6910741,1539,-3.42498779296875
1724252719.6354518,1549,-2.8605756759643555
1724252720.614176,1559,-2.174668073654175
1724252721.6924942,1569,-1.791030764579773
1724252722.550613,1579,-2.1071059703826904
1724252723.3484218,1589,-0.5182724595069885
1724252724.6736069,1599,-0.8606402277946472
1724252726.732298,1619,-0.9636933207511902
1724252727.839586,1629,-0.2884567081928253
1724252729.988704,1649,-1.3359724283218384
1724252731.280223,1659,-2.8125555515289307
1724252733.153963,1679,-0.37884896993637085
1724252734.117701,1689,-0.9269004464149475
1724252735.084866,1699,-1.1317243576049805
1724252737.207627,1719,-2.408637285232544
1724252738.238795,1729,-1.117233395576477
1724252739.205347,1739,-2.17936372756958
1724252740.803999,1759,-1.346279263496399
1724252741.8022752,1769,-2.0280191898345947
1724252742.868862,1779,-1.5481297969818115
1724252743.93472,1789,-0.59321528673172
1724252745.821919,1809,-1.8558365106582642
1724252746.83429,1819,-2.474442958831787
1724252748.051393,1829,-1.831665277481079
1724252748.9044921,1839,-1.7879431247711182
1724252749.858911,1849,-1.0564734935760498
1724252750.8498182,1859,-2.3133480548858643
1724252751.925303,1869,-1.6782222986221313
1724252753.1564429,1879,-1.1321309804916382
1724252754.110544,1889,-2.384335517883301
1724252756.006349,1909,-2.269054889678955
1724252756.973154,1919,-1.0824263095855713
1724252760.8379278,1949,-1.2427513599395752
1724252765.3089652,1989,-3.897505521774292
1724252766.33906,1999,-1.8134090900421143
1724252768.4775639,2019,-2.1628410816192627
1724252769.509365,2029,-1.27950918674469
1724252770.414347,2039,-2.8941221237182617
1724252772.4115222,2059,-0.6974877119064331
1724252773.4062579,2069,-3.508324384689331
1724252774.527972,2079,-1.6441974639892578
1724252775.851093,2089,-1.1434382200241089
1724252777.098192,2099,-3.756016731262207
1724252780.195722,2129,-2.825532913208008
1724252781.200286,2139,-2.1011149883270264
1724252782.124114,2149,-1.0733882188796997
1724252783.1268852,2159,-1.439132571220398
1724252784.09501,2169,-1.2018558979034424
1724252785.137384,2179,-0.9395307302474976
